Działanie, Wynik
5x0,0
7x0,0
9x0,0
10x0,0
18x0,0
20x0,0
32x0,0
33x0,0
34x0,0
35x0,0
39x0,0
41x0,0
43x0,0
45x0,0
58x0,0
59x0,0
60x0,0
65x0,0
66x0,0
74x0,0
78x0,0
80x0,0
90x0,0
95x0,0
97x0,0
99x0,0
4x1,4
5x1,5
7x1,7
10x1,10
11x1,11
15x1,15
16x1,16
27x1,27
29x1,29
32x1,32
35x1,35
37x1,37
43x1,43
50x1,50
56x1,56
58x1,58
59x1,59
61x1,61
62x1,62
63x1,63
64x1,64
70x1,70
71x1,71
73x1,73
74x1,74
76x1,76
79x1,79
82x1,82
84x1,84
85x1,85
94x1,94
3x2,6
8x2,16
9x2,18
11x2,22
15x2,30
16x2,32
17x2,34
29x2,58
36x2,72
37x2,74
38x2,76
46x2,92
47x2,94
49x2,98
0x3,0
1x3,3
6x3,18
7x3,21
9x3,27
10x3,30
14x3,42
15x3,45
16x3,48
17x3,51
18x3,54
19x3,57
21x3,63
24x3,72
26x3,78
27x3,81
29x3,87
32x3,96
1x4,4
5x4,20
6x4,24
8x4,32
9x4,36
10x4,40
15x4,60
16x4,64
17x4,68
18x4,72
19x4,76
20x4,80
21x4,84
24x4,96
25x4,100
0x5,0
4x5,20
6x5,30
7x5,35
9x5,45
11x5,55
12x5,60
13x5,65
14x5,70
18x5,90
1x6,6
8x6,48
14x6,84
16x6,96
5x7,35
11x7,77
12x7,84
13x7,91
14x7,98
7x8,56
9x8,72
0x9,0
3x9,27
4x9,36
6x9,54
7x9,63
8x9,72
11x9,99
1x10,10
8x10,80
1x11,11
3x11,33
4x11,44
5x11,55
7x11,77
3x12,36
4x12,48
5x12,60
7x12,84
8x12,96
1x13,13
2x13,26
4x13,52
5x13,65
7x13,91
0x14,0
3x14,42
5x14,70
6x14,84
7x14,98
2x15,30
3x15,45
5x15,75
6x15,90
0x16,0
2x16,32
3x16,48
4x16,64
5x16,80
6x16,96
4x17,68
5x17,85
2x18,36
3x18,54
4x18,72
5x18,90
1x19,19
3x19,57
4x19,76
5x19,95
2x20,40
4x20,80
0x21,0
4x21,84
4x22,88
3x23,69
1x24,24
4x24,96
0x25,0
3x25,75
1x26,26
2x26,52
3x26,78
0x27,0
2x27,54
3x27,81
2x28,56
3x28,84
3x29,87
0x30,0
1x31,31
3x31,93
0x34,0
2x34,68
1x35,35
2x36,72
2x37,74
0x38,0
2x38,76
1x39,39
0x40,0
0x41,0
2x42,84
0x43,0
2x44,88
2x45,90
2x46,92
1x47,47
2x47,94
0x51,0
1x54,54
0x55,0
0x57,0
0x58,0
0x59,0
0x60,0
1x61,61
1x62,62
0x63,0
1x66,66
1x68,68
0x70,0
1x72,72
1x73,73
1x74,74
0x77,0
1x77,77
0x79,0
0x81,0
0x83,0
1x83,83
0x84,0
0x86,0
1x86,86
0x87,0
0x89,0
0x90,0
1x90,90
0x91,0
1x92,92
1x94,94
0x95,0
1x99,99
0:1,0
3:1,3
4:1,4
6:1,6
7:1,7
8:1,8
9:1,9
10:1,10
11:1,11
12:1,12
13:1,13
14:1,14
15:1,15
16:1,16
17:1,17
18:1,18
19:1,19
20:1,20
21:1,21
23:1,23
24:1,24
25:1,25
26:1,26
27:1,27
28:1,28
29:1,29
30:1,30
31:1,31
32:1,32
33:1,33
34:1,34
35:1,35
36:1,36
37:1,37
38:1,38
39:1,39
40:1,40
41:1,41
42:1,42
43:1,43
44:1,44
45:1,45
46:1,46
47:1,47
48:1,48
49:1,49
50:1,50
51:1,51
52:1,52
53:1,53
54:1,54
55:1,55
56:1,56
57:1,57
58:1,58
59:1,59
60:1,60
62:1,62
63:1,63
64:1,64
65:1,65
66:1,66
67:1,67
68:1,68
69:1,69
70:1,70
71:1,71
72:1,72
73:1,73
74:1,74
75:1,75
76:1,76
77:1,77
78:1,78
79:1,79
81:1,81
83:1,83
84:1,84
85:1,85
86:1,86
87:1,87
88:1,88
89:1,89
90:1,90
91:1,91
92:1,92
93:1,93
94:1,94
95:1,95
96:1,96
97:1,97
98:1,98
99:1,99
0:2,0
2:2,1
4:2,2
6:2,3
8:2,4
10:2,5
12:2,6
14:2,7
16:2,8
18:2,9
20:2,10
22:2,11
24:2,12
26:2,13
28:2,14
30:2,15
32:2,16
34:2,17
36:2,18
38:2,19
40:2,20
42:2,21
44:2,22
46:2,23
48:2,24
50:2,25
52:2,26
54:2,27
56:2,28
58:2,29
60:2,30
62:2,31
64:2,32
66:2,33
68:2,34
70:2,35
72:2,36
74:2,37
76:2,38
78:2,39
80:2,40
82:2,41
84:2,42
86:2,43
92:2,46
94:2,47
96:2,48
98:2,49
0:3,0
3:3,1
6:3,2
9:3,3
12:3,4
15:3,5
18:3,6
21:3,7
24:3,8
27:3,9
30:3,10
33:3,11
36:3,12
39:3,13
42:3,14
45:3,15
48:3,16
51:3,17
54:3,18
57:3,19
60:3,20
63:3,21
66:3,22
69:3,23
72:3,24
75:3,25
78:3,26
81:3,27
84:3,28
87:3,29
90:3,30
93:3,31
96:3,32
99:3,33
0:4,0
4:4,1
8:4,2
12:4,3
16:4,4
20:4,5
24:4,6
28:4,7
32:4,8
36:4,9
40:4,10
44:4,11
48:4,12
52:4,13
56:4,14
60:4,15
64:4,16
68:4,17
72:4,18
76:4,19
80:4,20
84:4,21
88:4,22
92:4,23
96:4,24
0:5,0
5:5,1
10:5,2
15:5,3
20:5,4
25:5,5
30:5,6
35:5,7
40:5,8
45:5,9
50:5,10
55:5,11
60:5,12
65:5,13
70:5,14
75:5,15
85:5,17
90:5,18
0:6,0
6:6,1
12:6,2
18:6,3
24:6,4
30:6,5
36:6,6
42:6,7
48:6,8
54:6,9
60:6,10
66:6,11
72:6,12
78:6,13
84:6,14
90:6,15
96:6,16
0:7,0
7:7,1
14:7,2
21:7,3
28:7,4
35:7,5
42:7,6
49:7,7
56:7,8
63:7,9
70:7,10
77:7,11
84:7,12
91:7,13
98:7,14
0:8,0
8:8,1
16:8,2
24:8,3
32:8,4
40:8,5
48:8,6
56:8,7
64:8,8
72:8,9
80:8,10
88:8,11
96:8,12
0:9,0
9:9,1
18:9,2
27:9,3
36:9,4
45:9,5
54:9,6
63:9,7
72:9,8
81:9,9
90:9,10
99:9,11
0:10,0
10:10,1
20:10,2
30:10,3
40:10,4
50:10,5
60:10,6
70:10,7
80:10,8
90:10,9
0:11,0
11:11,1
22:11,2
33:11,3
44:11,4
55:11,5
66:11,6
77:11,7
88:11,8
99:11,9
0:12,0
12:12,1
24:12,2
36:12,3
48:12,4
60:12,5
72:12,6
84:12,7
96:12,8
0:13,0
13:13,1
26:13,2
39:13,3
52:13,4
65:13,5
78:13,6
91:13,7
0:14,0
28:14,2
42:14,3
56:14,4
70:14,5
84:14,6
98:14,7
0:15,0
15:15,1
30:15,2
45:15,3
60:15,4
75:15,5
90:15,6
0:16,0
16:16,1
32:16,2
48:16,3
64:16,4
80:16,5
96:16,6
0:17,0
17:17,1
34:17,2
51:17,3
68:17,4
85:17,5
0:18,0
18:18,1
36:18,2
54:18,3
72:18,4
90:18,5
0:19,0
38:19,2
57:19,3
76:19,4
95:19,5
0:20,0
20:20,1
40:20,2
60:20,3
80:20,4
0:21,0
21:21,1
42:21,2
63:21,3
84:21,4
0:22,0
22:22,1
44:22,2
66:22,3
88:22,4
0:23,0
23:23,1
46:23,2
69:23,3
92:23,4
0:24,0
24:24,1
48:24,2
72:24,3
96:24,4
0:25,0
50:25,2
75:25,3
0:26,0
26:26,1
52:26,2
78:26,3
0:27,0
27:27,1
54:27,2
81:27,3
0:28,0
28:28,1
56:28,2
84:28,3
0:29,0
29:29,1
58:29,2
87:29,3
0:30,0
30:30,1
60:30,2
90:30,3
0:31,0
31:31,1
62:31,2
93:31,3
0:32,0
32:32,1
64:32,2
96:32,3
0:33,0
33:33,1
66:33,2
99:33,3
0:34,0
34:34,1
68:34,2
0:35,0
35:35,1
70:35,2
0:36,0
72:36,2
0:37,0
37:37,1
74:37,2
0:38,0
38:38,1
76:38,2
0:39,0
39:39,1
78:39,2
0:40,0
40:40,1
80:40,2
41:41,1
82:41,2
0:42,0
42:42,1
84:42,2
0:43,0
43:43,1
86:43,2
0:44,0
44:44,1
88:44,2
0:45,0
45:45,1
90:45,2
0:46,0
46:46,1
92:46,2
0:47,0
47:47,1
94:47,2
0:48,0
48:48,1
96:48,2
0:49,0
49:49,1
98:49,2
0:50,0
50:50,1
0:51,0
51:51,1
0:52,0
52:52,1
0:53,0
53:53,1
0:54,0
54:54,1
0:55,0
55:55,1
0:56,0
56:56,1
0:57,0
57:57,1
0:58,0
58:58,1
0:59,0
59:59,1
0:60,0
60:60,1
0:61,0
61:61,1
0:62,0
62:62,1
0:63,0
63:63,1
0:64,0
64:64,1
65:65,1
0:66,0
66:66,1
0:67,0
67:67,1
0:68,0
68:68,1
0:69,0
69:69,1
0:70,0
70:70,1
0:71,0
71:71,1
0:72,0
72:72,1
0:73,0
73:73,1
0:74,0
74:74,1
0:75,0
75:75,1
0:76,0
76:76,1
0:77,0
77:77,1
0:78,0
78:78,1
0:79,0
79:79,1
0:80,0
80:80,1
0:81,0
81:81,1
0:82,0
82:82,1
0:83,0
83:83,1
0:84,0
84:84,1
0:85,0
85:85,1
0:86,0
86:86,1
0:87,0
87:87,1
0:88,0
88:88,1
89:89,1
0:90,0
90:90,1
0:91,0
91:91,1
0:92,0
92:92,1
0:93,0
93:93,1
0:94,0
94:94,1
0:95,0
95:95,1
0:96,0
96:96,1
0:97,0
97:97,1
0:98,0
98:98,1
0:99,0
99:99,1
